#Selection name: Selection 1
#Area (µm^2): 2261.18
Cell ID,Cluster,Transcripts,Area (µm^2)
aaaaanaj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaaabpb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaabcci-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,27,4.38
aaaaannn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabeia-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaaadak-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaabdnc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaaalmm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabekh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaaandb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaaadgo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,29,4.38
aaaabbje-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,17,4.38
aaaabacc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaabcpo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaaldi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,18,4.38
aaaaakho-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,7,4.38
aaaaadbm-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaaafko-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaabihl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,18,4.38
aaaaagdp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,24,4.38
aaaabcph-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaabgnf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaabiem-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaabgnl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaaoek-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,23,4.38
aaaaafgl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,9,4.38
aaaaadhe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaaoje-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaaaeao-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,29,4.38
aaaaachp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,62,4.38
aaaaalhj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaaaphc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabboi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,41,4.38
aaaaafcf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaaabon-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaabhap-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,24,4.38
aaaaakhh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaabjhb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,36,4.38
aaaaaeja-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,16,4.38
aaaaaika-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabego-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,21,4.38
aaaaaekj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaafdg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaaadac-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaaabii-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,27,4.38
aaaaancl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaaakam-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaaimb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaabhlc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,6,4.38
aaaaafnj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaancb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaabi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabend-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaaadlk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,23,4.38
aaaabani-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabiod-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,35,4.38
aaaaameh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaaacpo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaaanib-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,26,4.38
aaaabfch-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,16,4.38
aaaaagjb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,29,4.38
aaaabiea-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaaacka-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,33,4.38
aaaabbfn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,30,4.38
aaaaafca-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaagej-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaabejh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,45,4.38
aaaabifl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,30,4.38
aaaaacdd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaabgbb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,25,4.38
aaaaampj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,13,4.38
aaaabjfl-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaaabeg-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,8,4.38
aaaabiic-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaabanj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,34,4.38
aaaabaam-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,24,4.38
aaaabihk-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,18,4.38
aaaaacfp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,42,4.38
aaaaaanp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,22,4.38
aaaabcdh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
aaaabfgj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,12,4.38
aaaabagc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,32,4.38
aaaabech-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,19,4.38
aaaabbai-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,49,4.38
aaaaajef-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,63,4.38
aaaaammc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,23,4.38
aaaabcha-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,46,4.38
aaaaafhj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,45,4.38
aaaaajnp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,15,4.38
aaaaanhf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,11,4.38
aaaaaigc-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,10,4.38
aaaaapeb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,14,4.38
