#Selection name: Selection 1
#Area (µm^2): 682.78
X,Y
149.85,261.92
151.91,261.69
152.05,261.75
153.49,262.43
154.63,263.70
155.52,265.25
155.97,266.85
155.82,268.54
155.69,270.08
155.51,272.35
154.94,274.88
154.42,276.15
153.09,278.00
151.62,280.26
149.96,281.62
148.11,282.16
146.15,283.58
144.93,285.21
143.35,286.20
141.59,286.46
139.74,287.19
137.37,288.49
136.01,289.13
134.56,290.37
133.72,291.75
133.54,293.01
133.54,294.83
134.00,297.87
134.22,300.10
134.64,301.65
135.14,302.95
135.52,304.25
136.44,305.74
136.45,307.49
135.50,308.60
134.88,309.82
134.03,310.97
132.54,310.74
132.09,309.24
131.02,308.44
129.33,307.78
127.63,306.91
126.02,305.49
124.28,303.79
122.52,302.08
121.90,300.98
120.44,298.40
119.77,296.60
119.34,293.46
119.83,291.26
120.50,288.94
121.26,286.74
122.76,284.81
123.98,281.79
125.56,280.38
127.44,278.59
128.93,277.84
132.27,276.96
135.67,276.39
137.03,276.37
138.60,276.31
140.06,276.19
141.93,275.85
143.16,274.92
144.68,273.07
145.47,271.68
146.36,270.02
146.15,268.49
145.22,267.03
144.87,265.86
145.34,264.64
145.97,263.22
146.80,261.90
148.45,261.71
149.85,261.92
