#Selection name: Selection 2
#Area (µm^2): 16793.06
Cell ID,Cluster,Transcripts,Area (µm^2)
aaaaaibb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabcmj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaabgd-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaamj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaakon-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,23,4.38
aaaaaaoi-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaabhce-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaaffb-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaaacjf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabclo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaagjp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaafjh-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaabaoo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaabcdf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,5,4.38
aaaabgdf-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaaaghp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabjee-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,0,4.38
aaaaadii-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaplo-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
aaaabafj-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,3,4.38
aaaaancp-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabhki-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,1,4.38
aaaabdbe-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaabhdn-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,4,4.38
aaaaaeia-1,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1,2,4.38
