#Selection name: Selection 1
#Area (µm^2): 223762.49
X,Y
2282.80,-69.69
2354.97,-64.18
2354.97,-64.18
2389.68,-23.70
2414.90,72.94
2439.15,216.33
2523.20,407.14
2606.49,437.58
2714.87,473.14
2765.59,494.47
2684.15,520.41
2606.38,536.32
2514.79,571.05
2440.01,651.21
2441.31,724.29
2456.11,771.17
2477.99,837.90
2449.00,914.77
2405.62,936.10
2349.63,937.83
2281.65,940.02
2205.32,924.16
2153.81,860.71
2173.30,798.05
2236.51,716.57
2293.83,655.67
2294.76,645.44
2283.73,442.02
2258.22,133.89
2282.80,-69.69
